sofifa_id;player_url;short_name;long_name;overall;potential;value_eur;wage_eur;age
158023;https://sofifa.com/player/158023/lionel-messi/220002;L. Messi;Lionel AndrÃ©s Messi Cuccittini;93;93;78000000;320000;34
188545;https://sofifa.com/player/188545/robert-lewandowski/220002;R. Lewandowski;Robert Lewandowski;92;92;119500000;270000;32
20801;https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002;Cristiano Ronaldo;Cristiano Ronaldo dos Santos Aveiro;91;91;45000000;270000;36
190871;https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002;Neymar Jr;Neymar da Silva Santos JÃºnior;91;91;129000000;270000;29
192985;https://sofifa.com/player/192985/kevin-de-bruyne/220002;K. De Bruyne;Kevin De Bruyne;91;91;125500000;350000;30
200389;https://sofifa.com/player/200389/jan-oblak/220002;J. Oblak;Jan Oblak;91;93;112000000;130000;28
231747;https://sofifa.com/player/231747/kylian-mbappe/220002;K. MbappÃ©;Kylian MbappÃ© Lottin;91;95;194000000;230000;22
167495;https://sofifa.com/player/167495/manuel-neuer/220002;M. Neuer;Manuel Peter Neuer;90;90;13500000;86000;35
192448;https://sofifa.com/player/192448/marc-andre-ter-stegen/220002;M. ter Stegen;Marc-AndrÃ© ter Stegen;90;92;99000000;250000;29
202126;https://sofifa.com/player/202126/harry-kane/220002;H. Kane;Harry Kane;90;90;129500000;240000;27
215914;https://sofifa.com/player/215914/ngolo-kante/220002;N. KantÃ©;N'Golo KantÃ©;90;90;100000000;230000;30
165153;https://sofifa.com/player/165153/karim-benzema/220002;K. Benzema;Karim Benzema;89;89;66000000;350000;33
192119;https://sofifa.com/player/192119/thibaut-courtois/220002;T. Courtois;Thibaut Courtois;89;91;85500000;250000;29
200104;https://sofifa.com/player/200104/heung-min-son/220002;H. Son;ì†í¥ë¯¼ å­™å…´æ…œ;89;89;104000000;220000;28
200145;https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/220002;Casemiro;Carlos Henrique Venancio Casimiro;89;89;88000000;310000;29
203376;https://sofifa.com/player/203376/virgil-van-dijk/220002;V. van Dijk;Virgil van Dijk;89;89;86000000;230000;29
208722;https://sofifa.com/player/208722/sadio-mane/220002;S. ManÃ©;Sadio ManÃ©;89;89;101000000;270000;29
209331;https://sofifa.com/player/209331/mohamed-salah/220002;M. Salah;Mohamed Salah Ghaly;89;89;101000000;270000;29
210257;https://sofifa.com/player/210257/ederson-santana-de-moraes/220002;Ederson;Ederson Santana de Moraes;89;91;94000000;200000;27
212622;https://sofifa.com/player/212622/joshua-kimmich/220002;J. Kimmich;Joshua Walter Kimmich;89;90;108000000;160000;26
212831;https://sofifa.com/player/212831/alisson-ramses-becker/220002;Alisson;Alisson RamsÃ©s Becker;89;90;82000000;190000;28
230621;https://sofifa.com/player/230621/gianluigi-donnarumma/220002;G. Donnarumma;Gianluigi Donnarumma;89;93;119500000;110000;22
155862;https://sofifa.com/player/155862/sergio-ramos-garcia/220002;Sergio Ramos;Sergio Ramos GarcÃ­a;88;88;24000000;115000;35
